content_id,title,type,year,rating_count,avg_rating,ratings_30d
69079f2cafa5e245b1af7127,Avatar,movie,2009,1,3.0,1
69079f2cafa5e245b1af7128,Pirates of the Caribbean: At World's End,movie,2007,0,0.0,0
69079f2cafa5e245b1af7129,Spectre,movie,2015,0,0.0,0
69079f2cafa5e245b1af712a,The Dark Knight Rises,movie,2012,0,0.0,0
69079f2cafa5e245b1af712b,John Carter,movie,2012,0,0.0,0
69079f2cafa5e245b1af712c,Spider-Man 3,movie,2007,0,0.0,0
69079f2cafa5e245b1af712d,Tangled,movie,2010,0,0.0,0
69079f2cafa5e245b1af712e,Avengers: Age of Ultron,movie,2015,0,0.0,0
69079f2cafa5e245b1af712f,Harry Potter and the Half-Blood Prince,movie,2009,0,0.0,0
69079f2cafa5e245b1af7130,Batman v Superman: Dawn of Justice,movie,2016,0,0.0,0
69079f2cafa5e245b1af7131,Superman Returns,movie,2006,0,0.0,0
69079f2cafa5e245b1af7132,Quantum of Solace,movie,2008,0,0.0,0
69079f2cafa5e245b1af7133,Pirates of the Caribbean: Dead Man's Chest,movie,2006,0,0.0,0
69079f2cafa5e245b1af7134,The Lone Ranger,movie,2013,0,0.0,0
69079f2cafa5e245b1af7135,Man of Steel,movie,2013,0,0.0,0
69079f2cafa5e245b1af7136,The Chronicles of Narnia: Prince Caspian,movie,2008,0,0.0,0
69079f2cafa5e245b1af7137,The Avengers,movie,2012,0,0.0,0
69079f2cafa5e245b1af7138,Pirates of the Caribbean: On Stranger Tides,movie,2011,0,0.0,0
69079f2cafa5e245b1af7139,Men in Black 3,movie,2012,0,0.0,0
69079f2cafa5e245b1af713a,The Hobbit: The Battle of the Five Armies,movie,2014,0,0.0,0
69079f2cafa5e245b1af713b,The Amazing Spider-Man,movie,2012,0,0.0,0
69079f2cafa5e245b1af713c,Robin Hood,movie,2010,0,0.0,0
69079f2cafa5e245b1af713d,The Hobbit: The Desolation of Smaug,movie,2013,0,0.0,0
69079f2cafa5e245b1af713e,The Golden Compass,movie,2007,0,0.0,0
69079f2cafa5e245b1af713f,King Kong,movie,2005,0,0.0,0
69079f2cafa5e245b1af7140,Titanic,movie,1997,0,0.0,0
69079f2cafa5e245b1af7141,Captain America: Civil War,movie,2016,0,0.0,0
69079f2cafa5e245b1af7142,Battleship,movie,2012,0,0.0,0
69079f2cafa5e245b1af7143,Jurassic World,movie,2015,0,0.0,0
69079f2cafa5e245b1af7144,Skyfall,movie,2012,0,0.0,0
69079f2cafa5e245b1af7145,Spider-Man 2,movie,2004,0,0.0,0
69079f2cafa5e245b1af7146,Iron Man 3,movie,2013,0,0.0,0
69079f2cafa5e245b1af7147,Alice in Wonderland,movie,2010,0,0.0,0
69079f2cafa5e245b1af7148,X-Men: The Last Stand,movie,2006,0,0.0,0
69079f2cafa5e245b1af7149,Monsters University,movie,2013,0,0.0,0
69079f2cafa5e245b1af714a,Transformers: Revenge of the Fallen,movie,2009,0,0.0,0
69079f2cafa5e245b1af714b,Transformers: Age of Extinction,movie,2014,0,0.0,0
69079f2cafa5e245b1af714c,Oz: The Great and Powerful,movie,2013,0,0.0,0
69079f2cafa5e245b1af714d,The Amazing Spider-Man 2,movie,2014,0,0.0,0
69079f2cafa5e245b1af714e,TRON: Legacy,movie,2010,0,0.0,0
69079f2cafa5e245b1af714f,Cars 2,movie,2011,0,0.0,0
69079f2cafa5e245b1af7150,Green Lantern,movie,2011,0,0.0,0
